pkMemberSeason,fkMemberID,Season,MemberType,RatingPoints
1658,676,2012 - 2013,First Year,18
1659,498,2012 - 2013,Regular,11
1660,677,2012 - 2013,Student,0
1661,678,2012 - 2013,First Year,12
1663,680,2012 - 2013,Student,7
1664,681,2012 - 2013,First Year,1
1665,682,2012 - 2013,Regular,12
1666,683,2012 - 2013,Student,17
1667,684,2012 - 2013,Student,14
1668,685,2012 - 2013,Student,7
1669,155,2012 - 2013,Regular,14
1670,154,2012 - 2013,Student,4
1671,686,2012 - 2013,Regular,7
1672,687,2012 - 2013,Student,0
1673,688,2012 - 2013,Student,9
1674,689,2012 - 2013,Second Year,3
1675,690,2012 - 2013,First Year,1
1676,691,2012 - 2013,Student,13
1677,692,2012 - 2013,Student,5
1679,694,2012 - 2013,Regular,18
1680,695,2012 - 2013,First Year,4
1682,697,2012 - 2013,First Year,1
1683,698,2012 - 2013,First Year,1
1684,699,2012 - 2013,First Year,1
1685,700,2012 - 2013,Regular,8
1686,701,2012 - 2013,First Year,1
1687,702,2012 - 2013,Regular,12
1688,703,2012 - 2013,First Year,5
1690,705,2012 - 2013,Senior,0
1691,706,2012 - 2013,First Year,1
1692,707,2012 - 2013,First Year,4
1693,708,2012 - 2013,First Year,1
1694,709,2012 - 2013,First Year,1
1695,710,2012 - 2013,First Year,1
1696,711,2012 - 2013,First Year,1
1697,712,2012 - 2013,First Year,1
1698,713,2012 - 2013,First Year,1
1699,714,2012 - 2013,First Year,1
1700,715,2012 - 2013,First Year,4
1701,40,2012 - 2013,Regular,3
1703,717,2012 - 2013,Regular,3
1704,718,2012 - 2013,First Year,1
1705,719,2012 - 2013,First Year,1
1706,720,2012 - 2013,First Year,1
1707,721,2012 - 2013,Mixed,1
1708,722,2012 - 2013,Regular,1
1709,723,2012 - 2013,First Year,1
1710,724,2012 - 2013,First Year,1
1711,725,2012 - 2013,First Year,1
1712,726,2012 - 2013,First Year,1
1716,730,2012 - 2013,First Year,1
1718,732,2012 - 2013,First Year,1
1721,735,2012 - 2013,First Year,1
1722,736,2012 - 2013,First Year,1
1723,737,2012 - 2013,First Year,1
1724,263,2012 - 2013,Regular,18
1725,738,2012 - 2013,First Year,1
1726,739,2012 - 2013,First Year,1
1727,740,2012 - 2013,First Year,1
1729,742,2012 - 2013,First Year,1
1730,743,2012 - 2013,Regular,14
1731,744,2012 - 2013,First Year,1
1732,745,2012 - 2013,First Year,1
1733,746,2012 - 2013,First Year,1
1734,747,2012 - 2013,First Year,1
1735,748,2012 - 2013,First Year,1
1736,749,2012 - 2013,First Year,1
1737,750,2012 - 2013,First Year,1
1739,752,2012 - 2013,First Year,1
1740,753,2012 - 2013,First Year,1
1742,755,2012 - 2013,First Year,1
1743,756,2012 - 2013,First Year,1
1744,757,2012 - 2013,First Year,1
1745,758,2012 - 2013,First Year,1
1747,760,2012 - 2013,Student,0
1749,762,2012 - 2013,First Year,1
1750,763,2012 - 2013,First Year,11
1751,764,2012 - 2013,First Year,1
1752,765,2012 - 2013,First Year,1
1753,766,2012 - 2013,First Year,1
1754,767,2012 - 2013,First Year,1
1755,173,2012 - 2013,Second Year,4
1760,772,2012 - 2013,Regular,2
1761,7105,2012 - 2013,First Year,1
1762,774,2012 - 2013,Mixed,0
1763,775,2012 - 2013,Mixed,0
1764,776,2012 - 2013,Mixed,0
1765,777,2012 - 2013,Senior,0
1766,778,2012 - 2013,First Year,1
1767,779,2012 - 2013,First Year,1
1768,780,2012 - 2013,Senior,0
1769,781,2012 - 2013,First Year,1
1770,590,2012 - 2013,Second Year,1
1771,367,2012 - 2013,Senior,0
1772,782,2012 - 2013,Competitive,0
1773,458,2012 - 2013,Regular,14
1774,754,2012 - 2013,First Year,1
1775,459,2012 - 2013,Student,0
1776,526,2012 - 2013,Unknown,0
1777,784,2012 - 2013,First Year,0
1778,785,2012 - 2013,First Year,0
1779,786,2012 - 2013,First Year,0
1780,787,2012 - 2013,First Year,2
1781,788,2012 - 2013,First Year,0
1782,789,2012 - 2013,First Year,0
1783,790,2012 - 2013,First Year,0
1784,264,2013 - 2014,Regular,13
1785,310,2013 - 2014,Regular,16
1786,23,2013 - 2014,Regular,9
1787,427,2013 - 2014,Regular,16
1788,111,2013 - 2014,Regular,19
1789,93,2013 - 2014,Regular,13
1790,83,2013 - 2014,Regular,11
1791,99,2013 - 2014,Regular,19
1792,82,2013 - 2014,Regular,16
1793,122,2013 - 2014,Regular,19
1794,231,2013 - 2014,Regular,14
1795,16,2013 - 2014,Regular,16
1796,91,2013 - 2014,Regular,9
1797,218,2013 - 2014,Regular,10
1798,376,2013 - 2014,Regular,11
1799,25,2013 - 2014,Regular,18
1800,258,2013 - 2014,Regular,16
1801,457,2013 - 2014,Regular,6
1802,410,2013 - 2014,Regular,19
1803,421,2013 - 2014,Regular,15
1804,34,2013 - 2014,Regular,15
1805,194,2013 - 2014,Regular,12
1806,250,2013 - 2014,Regular,13
1807,373,2013 - 2014,Regular,17
1808,59,2013 - 2014,Regular,9
1809,463,2013 - 2014,Regular,4
1811,71,2013 - 2014,Regular,13
1812,471,2013 - 2014,Regular,14
1813,356,2013 - 2014,Regular,10
1814,149,2013 - 2014,Regular,16
1815,403,2013 - 2014,Regular,5
1816,406,2013 - 2014,Regular,4
1817,337,2013 - 2014,Social,0
1818,439,2013 - 2014,Regular,7
1819,26,2013 - 2014,Regular,7
1820,143,2013 - 2014,Regular,16
1821,163,2013 - 2014,Regular,6
1822,332,2013 - 2014,Regular,16
1823,105,2013 - 2014,Regular,12
1825,380,2013 - 2014,Regular,8
1826,470,2013 - 2014,Regular,15
1827,321,2013 - 2014,Regular,16
1829,209,2013 - 2014,Regular,19
1831,375,2013 - 2014,Regular,7
1832,283,2013 - 2014,Regular,7
1834,142,2013 - 2014,Regular,14
1835,516,2013 - 2014,Regular,8
1836,447,2013 - 2014,Regular,14
1837,191,2013 - 2014,Regular,14
1838,481,2013 - 2014,Mixed,9
1839,343,2013 - 2014,Regular,13
1840,274,2013 - 2014,Regular,8
1841,15,2013 - 2014,Regular,5
1842,401,2013 - 2014,Regular,11
1843,20,2013 - 2014,Regular,14
1844,351,2013 - 2014,Regular,4
1845,502,2013 - 2014,Regular,19
1846,534,2013 - 2014,Regular,14
1847,398,2013 - 2014,Regular,18
1848,532,2013 - 2014,Regular,6
1850,86,2013 - 2014,Senior,4
1851,411,2013 - 2014,Regular,6
1852,152,2013 - 2014,Regular,18
1853,216,2013 - 2014,Regular,7
1854,335,2013 - 2014,Regular,19
1855,95,2013 - 2014,Regular,3
1856,202,2013 - 2014,Regular,15
1857,297,2013 - 2014,Regular,15
1858,486,2013 - 2014,Regular,8
1859,295,2013 - 2014,Regular,8
1860,347,2013 - 2014,Regular,20
1861,488,2013 - 2014,Regular,12
1862,28,2013 - 2014,Regular,13
1863,205,2013 - 2014,Regular,13
1864,210,2013 - 2014,Regular,19
1865,46,2013 - 2014,Regular,18
1866,273,2013 - 2014,Regular,17
1867,307,2013 - 2014,Regular,11
1868,24,2013 - 2014,Regular,17
1869,208,2013 - 2014,Regular,17
1870,233,2013 - 2014,Regular,15
1871,435,2013 - 2014,Regular,16
1872,453,2013 - 2014,Regular,16
1873,252,2013 - 2014,Regular,9
1874,419,2013 - 2014,Regular,17
1875,368,2013 - 2014,Regular,12
1876,206,2013 - 2014,Regular,7
1877,113,2013 - 2014,Regular,10
1878,249,2013 - 2014,Regular,5
1879,211,2013 - 2014,Regular,12
1880,523,2013 - 2014,Regular,17
1882,262,2013 - 2014,Regular,18
1883,136,2013 - 2014,Regular,5
1884,220,2013 - 2014,Regular,10
1885,360,2013 - 2014,Regular,17
1886,129,2013 - 2014,Regular,19
1887,171,2013 - 2014,Regular,18
1888,117,2013 - 2014,Regular,15
1889,230,2013 - 2014,Regular,15
1890,103,2013 - 2014,Regular,4
1891,473,2013 - 2014,Regular,16
1892,389,2013 - 2014,Regular,17
1893,393,2013 - 2014,Regular,10
1894,293,2013 - 2014,Regular,16
1895,311,2013 - 2014,Student,3
1896,232,2013 - 2014,Regular,15
1898,388,2013 - 2014,Regular,10
1899,245,2013 - 2014,Regular,19
1900,158,2013 - 2014,Regular,12
1901,474,2013 - 2014,Regular,19
1902,451,2013 - 2014,Regular,13
1903,279,2013 - 2014,Regular,9
1904,524,2013 - 2014,Regular,17
1905,312,2013 - 2014,Regular,16
1906,166,2013 - 2014,Regular,17
1907,361,2013 - 2014,Regular,16
1908,90,2013 - 2014,Regular,9
1909,372,2013 - 2014,Regular,8
1910,45,2013 - 2014,Regular,15
1911,300,2013 - 2014,Regular,10
1912,42,2013 - 2014,Regular,8
1913,315,2013 - 2014,Competitive,20
1914,346,2013 - 2014,Regular,19
1916,420,2013 - 2014,Regular,16
1918,525,2013 - 2014,Regular,4
1919,326,2013 - 2014,Regular,10
1920,153,2013 - 2014,Unknown,0
1921,416,2013 - 2014,Regular,16
1923,64,2013 - 2014,Regular,6
1924,513,2013 - 2014,Regular,6
1925,287,2013 - 2014,Regular,5
1926,365,2013 - 2014,Regular,16
1927,2,2013 - 2014,Regular,7
1929,244,2013 - 2014,Regular,4
1930,7,2013 - 2014,Regular,12
1931,289,2013 - 2014,Regular,10
1932,185,2013 - 2014,Regular,18
1933,476,2013 - 2014,Regular,11
1934,251,2013 - 2014,Regular,8
1935,222,2013 - 2014,Regular,12
1936,408,2013 - 2014,Regular,14
1937,65,2013 - 2014,Regular,18
1938,100,2013 - 2014,Regular,8
1939,450,2013 - 2014,Regular,8
1940,41,2013 - 2014,Regular,11
1941,109,2013 - 2014,Regular,7
1942,237,2013 - 2014,Regular,20
1943,101,2013 - 2014,Regular,15
1944,353,2013 - 2014,Regular,14
1945,161,2013 - 2014,Regular,12
1946,199,2013 - 2014,Regular,9
1947,217,2013 - 2014,Regular,5
1948,174,2013 - 2014,Regular,9
1949,304,2013 - 2014,Regular,16
1950,125,2013 - 2014,Regular,4
1951,294,2013 - 2014,Regular,18
1953,535,2013 - 2014,Regular,15
1955,550,2013 - 2014,Regular,12
1956,551,2013 - 2014,Regular,17
1958,12,2013 - 2014,Honorary,0
1959,51,2013 - 2014,Life,0
1960,62,2013 - 2014,Honorary,0
1961,96,2013 - 2014,Honorary,0
1962,236,2013 - 2014,Honorary,0
1963,285,2013 - 2014,Life,0
1964,354,2013 - 2014,Honorary,0
1965,382,2013 - 2014,Honorary,0
1967,552,2013 - 2014,Regular,8
1968,553,2013 - 2014,Second Year,4
1969,554,2013 - 2014,Regular,5
1970,238,2013 - 2014,Competitive,15
1971,323,2013 - 2014,Regular,8
1973,432,2013 - 2014,Regular,5
1975,320,2013 - 2014,Regular,12
1977,338,2013 - 2014,Regular,17
1978,482,2013 - 2014,Regular,8
1979,487,2013 - 2014,Regular,7
1981,370,2013 - 2014,Regular,9
1982,165,2013 - 2014,Regular,9
1983,164,2013 - 2014,Mixed,4
1984,512,2013 - 2014,Senior,4
1985,135,2013 - 2014,Regular,6
1986,75,2013 - 2014,Regular,18
1987,17,2013 - 2014,Regular,14
1988,433,2013 - 2014,Regular,15
1989,128,2013 - 2014,Regular,7
1990,92,2013 - 2014,Regular,16
1991,147,2013 - 2014,Regular,6
1992,328,2013 - 2014,Regular,14
1993,399,2013 - 2014,Regular,7
1994,308,2013 - 2014,Regular,8
1995,223,2013 - 2014,Student,19
1996,336,2013 - 2014,Social,0
1997,8,2013 - 2014,Regular,16
1998,344,2013 - 2014,Regular,18
1999,282,2013 - 2014,Regular,18
2000,345,2013 - 2014,Regular,19
2002,235,2013 - 2014,Regular,17
2003,414,2013 - 2014,Regular,14
2004,60,2013 - 2014,Regular,20
2005,349,2013 - 2014,Regular,5
2006,94,2013 - 2014,Regular,17
2007,331,2013 - 2014,Regular,12
2008,55,2013 - 2014,Regular,7
2009,81,2013 - 2014,Regular,16
2011,176,2013 - 2014,Regular,3
2012,201,2013 - 2014,Regular,19
2013,437,2013 - 2014,Regular,10
2014,277,2013 - 2014,Regular,17
2015,182,2013 - 2014,Regular,7
2017,511,2013 - 2014,Regular,17
2019,509,2013 - 2014,Regular,5
2020,462,2013 - 2014,Regular,4
2021,306,2013 - 2014,Regular,19
2022,475,2013 - 2014,Regular,17
2023,179,2013 - 2014,Regular,7
2024,133,2013 - 2014,Regular,5
2025,87,2013 - 2014,Regular,4
2026,168,2013 - 2014,Regular,18
2027,290,2013 - 2014,Regular,7
2028,378,2013 - 2014,Regular,16
2029,409,2013 - 2014,Regular,20
2030,305,2013 - 2014,Regular,16
2031,18,2013 - 2014,Regular,5
2032,167,2013 - 2014,Regular,16
2033,313,2013 - 2014,Regular,13
2035,440,2013 - 2014,Regular,8
2037,454,2013 - 2014,Regular,17
2038,478,2013 - 2014,Regular,17
2039,159,2013 - 2014,Regular,15
2040,187,2013 - 2014,Regular,8
2041,184,2013 - 2014,Regular,17
2042,394,2013 - 2014,Regular,6
2043,144,2013 - 2014,Regular,2
2045,460,2013 - 2014,Regular,17
2046,247,2013 - 2014,Regular,5
2047,181,2013 - 2014,Regular,5
2049,73,2013 - 2014,Regular,8
2050,203,2013 - 2014,Unknown,0
2051,334,2013 - 2014,Regular,18
2052,115,2013 - 2014,Regular,16
2054,358,2013 - 2014,Regular,6
2055,107,2013 - 2014,Regular,16
2057,341,2013 - 2014,Regular,4
2058,22,2013 - 2014,Regular,13
2059,13,2013 - 2014,Regular,13
2060,362,2013 - 2014,Regular,10
2062,455,2013 - 2014,Regular,8
2063,219,2013 - 2014,Mixed,7
2065,37,2013 - 2014,Regular,18
2066,384,2013 - 2014,Regular,17
2067,385,2013 - 2014,Regular,18
2070,298,2013 - 2014,Regular,13
2071,568,2013 - 2014,Mixed,0
2072,571,2013 - 2014,Regular,6
2073,496,2013 - 2014,Regular,17
2074,270,2013 - 2014,Regular,15
2075,575,2013 - 2014,Regular,17
2076,386,2013 - 2014,Regular,19
2077,276,2013 - 2014,Regular,16
2078,350,2013 - 2014,Regular,15
2079,207,2013 - 2014,Regular,4
2080,322,2013 - 2014,Regular,15
2081,576,2013 - 2014,Regular,5
2082,577,2013 - 2014,Regular,4
2083,500,2013 - 2014,Regular,16
2084,50,2013 - 2014,Regular,6
2085,413,2013 - 2014,Regular,7
2086,514,2013 - 2014,Regular,17
2087,461,2013 - 2014,Regular,20
2088,265,2013 - 2014,Regular,4
2089,578,2013 - 2014,Regular,15
2090,7078,2013 - 2014,Regular,15
2091,192,2013 - 2014,Student,20
2092,61,2013 - 2014,Regular,19
2093,63,2013 - 2014,Senior,20
2094,579,2013 - 2014,Regular,13
2095,204,2013 - 2014,Regular,13
2096,318,2013 - 2014,Regular,16
2097,43,2013 - 2014,Student,6
2098,44,2013 - 2014,Student,13
2099,114,2013 - 2014,Regular,8
2100,330,2013 - 2014,Regular,8
2101,268,2013 - 2014,Regular,16
2102,495,2013 - 2014,Regular,13
2103,364,2013 - 2014,Regular,10
2106,319,2013 - 2014,Regular,8
2107,246,2013 - 2014,Regular,6
2108,585,2013 - 2014,Regular,14
2109,586,2013 - 2014,Regular,13
2110,407,2013 - 2014,Regular,16
2112,587,2013 - 2014,Regular,6
2113,418,2013 - 2014,Regular,12
2115,138,2013 - 2014,Regular,6
2116,377,2013 - 2014,Regular,16
2117,504,2013 - 2014,Regular,4
2118,58,2013 - 2014,Unknown,0
2120,588,2013 - 2014,Social,0
2121,589,2013 - 2014,Regular,3
2122,146,2013 - 2014,Regular,19
2123,494,2013 - 2014,Regular,14
2124,591,2013 - 2014,Regular,14
2125,592,2013 - 2014,Student,3
2126,196,2013 - 2014,Regular,13
2127,593,2013 - 2014,Regular,6
2128,594,2013 - 2014,Regular,5
2129,595,2013 - 2014,Regular,9
2130,597,2013 - 2014,Regular,6
2131,598,2013 - 2014,Regular,3
2133,600,2013 - 2014,Regular,4
2134,492,2013 - 2014,Regular,10
2136,445,2013 - 2014,Regular,8
2137,151,2013 - 2014,Student,19
2138,53,2013 - 2014,Regular,8
2139,605,2013 - 2014,Regular,17
2140,606,2013 - 2014,Life,0
2141,160,2013 - 2014,Regular,13
2142,27,2013 - 2014,Regular,7
2145,607,2013 - 2014,Regular,3
2146,608,2013 - 2014,Regular,14
2147,610,2013 - 2014,Regular,3
2148,611,2013 - 2014,Regular,9
2149,612,2013 - 2014,Regular,3
2150,614,2013 - 2014,Regular,4
2151,426,2013 - 2014,Regular,16
2152,6,2013 - 2014,Regular,5
2153,195,2013 - 2014,Regular,17
2154,444,2013 - 2014,Regular,9
2155,178,2013 - 2014,Regular,5
2157,446,2013 - 2014,Regular,17
2158,193,2013 - 2014,Regular,20
2159,33,2013 - 2014,Regular,12
2160,615,2013 - 2014,Student,3
2161,30,2013 - 2014,Regular,9
2162,180,2013 - 2014,Regular,9
2164,257,2013 - 2014,Regular,6
2165,396,2013 - 2014,Regular,13
2167,256,2013 - 2014,Regular,6
2168,127,2013 - 2014,Regular,11
2169,243,2013 - 2014,Regular,5
2170,618,2013 - 2014,Regular,2
2171,7770,2013 - 2014,Regular,13
2172,622,2013 - 2014,Regular,4
2173,623,2013 - 2014,Student,17
2174,624,2013 - 2014,Regular,5
2175,121,2013 - 2014,Regular,13
2176,518,2013 - 2014,Regular,5
2177,266,2013 - 2014,Regular,13
2181,363,2013 - 2014,Student,15
2182,483,2013 - 2014,Regular,8
2183,145,2013 - 2014,Regular,5
2184,213,2013 - 2014,Regular,10
2185,631,2013 - 2014,Regular,4
2187,633,2013 - 2014,Regular,3
2188,9,2013 - 2014,Regular,12
2191,634,2013 - 2014,Regular,16
2192,635,2013 - 2014,Regular,5
2194,638,2013 - 2014,Regular,4
2195,374,2013 - 2014,Mixed,3
2196,118,2013 - 2014,Regular,8
2197,640,2013 - 2014,Regular,4
2198,641,2013 - 2014,Second Year,13
2200,643,2013 - 2014,Regular,5
2201,645,2013 - 2014,Regular,4
2203,648,2013 - 2014,Regular,5
2204,649,2013 - 2014,Regular,3
2205,650,2013 - 2014,Regular,5
2206,387,2013 - 2014,Mixed,0
2207,652,2013 - 2014,Regular,8
2208,654,2013 - 2014,Regular,7
2209,655,2013 - 2014,Honorary,0
2210,656,2013 - 2014,Honorary,0
2211,284,2013 - 2014,Life,0
2212,657,2013 - 2014,Honorary,0
2213,659,2013 - 2014,Second Year,5
2215,665,2013 - 2014,Regular,3
2218,675,2013 - 2014,Senior,0
2220,498,2013 - 2014,Regular,12
2221,677,2013 - 2014,Student,2
2223,680,2013 - 2014,Student,7
2225,682,2013 - 2014,Second Year,12
2226,683,2013 - 2014,Student,17
2227,684,2013 - 2014,Student,15
2228,685,2013 - 2014,Student,8
2231,686,2013 - 2014,Regular,9
2233,688,2013 - 2014,Student,11
2235,690,2013 - 2014,Second Year,2
2236,691,2013 - 2014,Student,13
2238,694,2013 - 2014,Regular,19
2240,697,2013 - 2014,Second Year,2
2243,700,2013 - 2014,Regular,9
2244,701,2013 - 2014,Second Year,4
2245,702,2013 - 2014,Regular,13
2246,703,2013 - 2014,Second Year,10
2247,705,2013 - 2014,Senior,0
2249,707,2013 - 2014,Second Year,5
2250,708,2013 - 2014,Second Year,3
2251,709,2013 - 2014,Second Year,3
2254,712,2013 - 2014,Second Year,3
2256,714,2013 - 2014,Second Year,3
2257,715,2013 - 2014,Regular,6
2259,717,2013 - 2014,Regular,3
2260,718,2013 - 2014,Second Year,2
2261,719,2013 - 2014,Second Year,2
2262,720,2013 - 2014,Second Year,2
2264,722,2013 - 2014,Second Year,5
2265,723,2013 - 2014,Second Year,3
2266,724,2013 - 2014,Second Year,3
2267,725,2013 - 2014,Second Year,2
2268,726,2013 - 2014,Second Year,3
2269,730,2013 - 2014,Second Year,2
2270,732,2013 - 2014,Second Year,3
2274,263,2013 - 2014,Regular,17
2276,739,2013 - 2014,Second Year,3
2277,740,2013 - 2014,Second Year,2
2278,742,2013 - 2014,Second Year,3
2279,743,2013 - 2014,Regular,15
2280,744,2013 - 2014,Unknown,0
2281,745,2013 - 2014,Second Year,2
2282,746,2013 - 2014,Second Year,3
2284,748,2013 - 2014,Second Year,3
2285,749,2013 - 2014,Second Year,2
2289,755,2013 - 2014,Second Year,2
2290,756,2013 - 2014,Second Year,3
2291,757,2013 - 2014,Second Year,2
2293,760,2013 - 2014,Student,15
2294,762,2013 - 2014,Second Year,3
2295,763,2013 - 2014,Second Year,11
2300,173,2013 - 2014,Regular,4
2302,7105,2013 - 2014,Second Year,3
2304,775,2013 - 2014,Mixed,2
2305,776,2013 - 2014,Student,1
2306,777,2013 - 2014,Senior,0
2307,778,2013 - 2014,Second Year,3
2310,781,2013 - 2014,Second Year,2
2312,367,2013 - 2014,Senior,16
2315,754,2013 - 2014,Second Year,2
2317,526,2013 - 2014,Regular,9
2320,786,2013 - 2014,First Year,2
2321,787,2013 - 2014,Second Year,2
2323,789,2013 - 2014,First Year,1
2324,790,2013 - 2014,Second Year,1
2325,791,2013 - 2014,First Year,1
2326,792,2013 - 2014,Regular,14
2327,793,2013 - 2014,Regular,19
2329,795,2013 - 2014,First Year,1
2330,796,2013 - 2014,Student,1
2331,797,2013 - 2014,First Year,1
2332,798,2013 - 2014,First Year,1
2333,799,2013 - 2014,First Year,1
2334,800,2013 - 2014,First Year,1
2335,801,2013 - 2014,First Year,1
2336,36,2013 - 2014,Regular,15
3334,1800,2013 - 2014,First Year,1
3335,1801,2013 - 2014,First Year,19
3336,1802,2013 - 2014,First Year,3
3337,1803,2013 - 2014,Regular,3
3338,1804,2013 - 2014,Regular,5
3339,569,2013 - 2014,Regular,15
3340,423,2013 - 2014,Regular,14
3343,1807,2013 - 2014,Regular,4
3350,1809,2013 - 2014,Regular,7
3351,1810,2013 - 2014,First Year,1
3352,1811,2013 - 2014,First Year,1
3353,1812,2013 - 2014,First Year,1
3354,1813,2013 - 2014,First Year,1
3356,240,2013 - 2014,Student,9
3357,695,2013 - 2014,Regular,5
3358,1815,2013 - 2014,First Year,1
3359,1816,2013 - 2014,First Year,1
3360,1817,2013 - 2014,First Year,1
3361,1818,2013 - 2014,First Year,1
3362,269,2013 - 2014,Regular,8
3363,1820,2013 - 2014,First Year,1
3364,574,2013 - 2014,Student,0
3365,1821,2013 - 2014,First Year,8
3366,1822,2013 - 2014,First Year,1
3367,465,2013 - 2014,Regular,5
3368,1823,2013 - 2014,First Year,1
3369,1824,2013 - 2014,First Year,1
3370,1825,2013 - 2014,First Year,1
3371,1826,2013 - 2014,First Year,1
3372,1827,2013 - 2014,First Year,1
3373,1828,2013 - 2014,First Year,1
3374,1829,2013 - 2014,First Year,1
3375,1830,2013 - 2014,Unknown,0
3377,1832,2013 - 2014,First Year,1
3378,1833,2013 - 2014,First Year,1
3379,1834,2013 - 2014,First Year,1
3380,1835,2013 - 2014,First Year,1
3381,1836,2013 - 2014,Mixed,0
3382,1837,2013 - 2014,First Year,1
3383,1838,2013 - 2014,First Year,1
3384,1839,2013 - 2014,First Year,1
3385,1840,2013 - 2014,First Year,1
3389,1844,2013 - 2014,Second Year,2
3390,1845,2013 - 2014,First Year,1
3391,1846,2013 - 2014,First Year,1
3392,369,2013 - 2014,Regular,12
3393,38,2013 - 2014,Regular,14
3394,1847,2013 - 2014,Senior,0
3395,1848,2013 - 2014,First Year,14
3396,1849,2013 - 2014,Student,14
3397,1850,2013 - 2014,First Year,1
3398,1851,2013 - 2014,First Year,1
3399,1852,2013 - 2014,Mixed,0
3400,317,2013 - 2014,Regular,7
3401,1853,2013 - 2014,First Year,11
3402,1854,2013 - 2014,First Year,1
4402,2854,2013 - 2014,First Year,1
4405,402,2013 - 2014,Second Year,8
4406,2857,2013 - 2014,Second Year,0
4407,573,2013 - 2014,Second Year,2
4408,2858,2013 - 2014,Regular,0
4410,2859,2013 - 2014,Regular,0
4411,303,2013 - 2014,Regular,19
4412,2860,2013 - 2014,Social,0
4413,2861,2013 - 2014,First Year,1
4414,2862,2013 - 2014,First Year,1
4415,782,2013 - 2014,Competitive,0
4418,2863,2013 - 2014,First Year,1
4423,567,2013 - 2014,Regular,11
4424,170,2013 - 2014,Unknown,15
4425,2864,2013 - 2014,Mixed,0
4426,2865,2013 - 2014,Mixed,0
4427,2866,2013 - 2014,First Year,1
4428,2867,2013 - 2014,Fowler Only,3
4429,2868,2013 - 2014,Fowler Only,-1
4430,2869,2013 - 2014,Fowler Only,-1
4432,2871,2013 - 2014,Fowler Only,-1
4435,2874,2013 - 2014,Fowler Only,-1
4436,2875,2013 - 2014,Fowler Only,-1
4437,2876,2013 - 2014,Fowler Only,-1
4438,2877,2013 - 2014,Fowler Only,-1
4439,2878,2013 - 2014,Fowler Only,-1
4440,2879,2013 - 2014,Fowler Only,-1
4441,452,2013 - 2014,Unknown,0
4442,2880,2013 - 2014,Fowler Only,1
4443,2881,2013 - 2014,Fowler Only,-1
4444,2882,2013 - 2014,Fowler Only,-1
4448,259,2013 - 2014,Fowler Only,13
4449,260,2013 - 2014,Fowler Only,15
4450,84,2013 - 2014,Fowler Only,2
4451,563,2013 - 2014,Fowler Only,1
4452,519,2013 - 2014,Fowler Only,18
4453,264,2014 - 2015,Regular,15
4454,310,2014 - 2015,Regular,16
4455,23,2014 - 2015,Regular,9
4456,427,2014 - 2015,Regular,16
4457,111,2014 - 2015,Regular,19
4458,93,2014 - 2015,Regular,13
4459,83,2014 - 2015,Regular,12
4460,99,2014 - 2015,Regular,19
4461,82,2014 - 2015,Regular,16
4462,122,2014 - 2015,Regular,19
4463,231,2014 - 2015,Regular,14
4464,16,2014 - 2015,Regular,16
4465,91,2014 - 2015,Regular,9
4466,218,2014 - 2015,Regular,11
4467,376,2014 - 2015,Regular,11
4468,25,2014 - 2015,Regular,18
4469,258,2014 - 2015,Regular,17
4470,457,2014 - 2015,Regular,7
4471,410,2014 - 2015,Regular,19
4472,421,2014 - 2015,Regular,16
4473,34,2014 - 2015,Regular,15
4474,194,2014 - 2015,Regular,13
4475,250,2014 - 2015,Regular,13
4476,373,2014 - 2015,Regular,17
4477,59,2014 - 2015,Regular,9
4478,463,2014 - 2015,Regular,6
4479,71,2014 - 2015,Regular,13
4480,471,2014 - 2015,Regular,16
4482,149,2014 - 2015,Regular,15
4483,403,2014 - 2015,Regular,6
4484,406,2014 - 2015,Regular,4
4485,337,2014 - 2015,Social,0
4486,439,2014 - 2015,Senior,7
4487,26,2014 - 2015,Regular,8
4488,143,2014 - 2015,Regular,15
4489,163,2014 - 2015,Regular,8
4490,332,2014 - 2015,Regular,16
4491,105,2014 - 2015,Regular,12
4492,380,2014 - 2015,Regular,11
4493,470,2014 - 2015,Regular,16
4494,321,2014 - 2015,Regular,16
4495,209,2014 - 2015,Regular,19
4496,375,2014 - 2015,Senior,7
4498,142,2014 - 2015,Regular,14
4500,447,2014 - 2015,Regular,15
4501,191,2014 - 2015,Regular,13
4502,481,2014 - 2015,Regular,9
4503,343,2014 - 2015,Regular,13
4504,274,2014 - 2015,Regular,9
4505,15,2014 - 2015,Regular,6
4506,401,2014 - 2015,Regular,12
4508,351,2014 - 2015,Regular,4
4509,502,2014 - 2015,Regular,19
4510,534,2014 - 2015,Regular,15
4511,398,2014 - 2015,Regular,18
4512,532,2014 - 2015,Regular,7
4513,86,2014 - 2015,Senior,0
4514,411,2014 - 2015,Regular,6
4515,152,2014 - 2015,Regular,18
4516,216,2014 - 2015,Regular,6
4517,335,2014 - 2015,Regular,19
4518,95,2014 - 2015,Regular,3
4519,202,2014 - 2015,Regular,15
4520,297,2014 - 2015,Regular,15
4521,486,2014 - 2015,Regular,8
4522,295,2014 - 2015,Regular,8
4523,347,2014 - 2015,Regular,20
4524,488,2014 - 2015,Regular,13
4525,28,2014 - 2015,Regular,13
4526,205,2014 - 2015,Regular,12
4527,210,2014 - 2015,Regular,18
4528,46,2014 - 2015,Regular,17
4529,273,2014 - 2015,Regular,18
4530,307,2014 - 2015,Regular,12
